 Date = 2024.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -85.000    0.000  -29.47  -70.68   12981   11301   -6387  -37020   39230
  -85.000    5.000  -33.94  -70.78   12944   10738   -7227  -37132   39324
  -85.000   10.000  -38.44  -70.91   12900   10104   -8020  -37267   39437
  -85.000   15.000  -42.98  -71.05   12849    9401   -8759  -37425   39569
  -85.000   20.000  -47.55  -71.21   12791    8633   -9439  -37603   39719
  -85.000   25.000  -52.17  -71.39   12726    7805  -10051  -37801   39886
  -85.000   30.000  -56.83  -71.59   12653    6922  -10592  -38019   40069
  -85.000   35.000  -61.54  -71.81   12573    5991  -11054  -38253   40266
  -85.000   40.000  -66.30  -72.03   12485    5018  -11432  -38503   40476
  -85.000   45.000  -71.11  -72.28   12389    4011  -11721  -38766   40698
  -85.000   50.000  -75.98  -72.53   12285    2977  -11919  -39041   40928
  -85.000   55.000  -80.90  -72.80   12174    1925  -12021  -39325   41166
  -85.000   60.000  -85.88  -73.07   12056     865  -12025  -39616   41410
  -85.000   65.000  -90.93  -73.35   11932    -194  -11931  -39911   41656
  -85.000   70.000  -96.05  -73.64   11802   -1244  -11737  -40207   41904
  -85.000   75.000 -101.23  -73.93   11668   -2273  -11444  -40503   42150
  -85.000   80.000 -106.49  -74.22   11530   -3273  -11055  -40795   42393
  -85.000   85.000 -111.82  -74.50   11389   -4234  -10573  -41081   42631
  -85.000   90.000 -117.23  -74.79   11248   -5147  -10001  -41359   42861
  -85.000   95.000 -122.72  -75.06   11108   -6004   -9345  -41625   43082
  -85.000  100.000 -128.28  -75.32   10970   -6796   -8611  -41878   43291
  -85.000  105.000 -133.92  -75.57   10837   -7517   -7806  -42115   43487
  -85.000  110.000 -139.63  -75.80   10709   -8160   -6936  -42335   43669
  -85.000  115.000 -145.42  -76.02   10590   -8719   -6011  -42535   43834
  -85.000  120.000 -151.26  -76.21   10481   -9191   -5039  -42715   43982
  -85.000  125.000 -157.17  -76.38   10384   -9570   -4029  -42872   44111
  -85.000  130.000 -163.12  -76.53   10300   -9856   -2991  -43005   44221
  -85.000  135.000 -169.11  -76.65   10231  -10047   -1933  -43114   44311
  -85.000  140.000 -175.12  -76.74   10178  -10141    -866  -43198   44381
  -85.000  145.000  178.86  -76.81   10141  -10139     203  -43257   44430
  -85.000  150.000  172.84  -76.84   10122  -10043    1262  -43290   44458
  -85.000  155.000  166.83  -76.84   10120   -9854    2305  -43298   44465
  -85.000  160.000  160.86  -76.82   10136   -9576    3323  -43280   44451
  -85.000  165.000  154.94  -76.77   10168   -9211    4308  -43238   44418
  -85.000  170.000  149.07  -76.68   10218   -8765    5252  -43172   44364
  -85.000  175.000  143.27  -76.58   10282   -8241    6149  -43082   44292
  -85.000  180.000  137.55  -76.44   10361   -7645    6994  -42969   44201
  -85.000  185.000  131.91  -76.29   10453   -6982    7779  -42836   44093
  -85.000  190.000  126.36  -76.11   10556   -6258    8501  -42682   43968
  -85.000  195.000  120.90  -75.91   10668   -5479    9154  -42509   43828
  -85.000  200.000  115.54  -75.70   10789   -4651    9735  -42319   43673
  -85.000  205.000  110.27  -75.47   10917   -3781   10241  -42113   43505
  -85.000  210.000  105.09  -75.22   11049   -2876   10669  -41893   43326
  -85.000  215.000  100.00  -74.97   11185   -1942   11015  -41660   43135
  -85.000  220.000   94.99  -74.71   11323    -985   11280  -41415   42935
  -85.000  225.000   90.07  -74.44   11461     -14   11461  -41162   42728
  -85.000  230.000   85.22  -74.17   11598     966   11558  -40901   42513
  -85.000  235.000   80.45  -73.89   11733    1947   11571  -40634   42294
